id,type,move,famous,provenance,blind_brief,adversarial,scale_mismatch,claim_kind,round,outcome,survived,source_line,notes
C1,computed,computation,obscure,primary,0,0,na,number,early,PRIOR_ART,0,novelty-audit grade table C1 REPACKAGED,"headline struck and rebuilt 2026-09-05 (log 1081/1095); prior-art grade takes precedence over the narrowing"
C2,computed,computation,obscure,secondary,0,0,na,number,early,PRIOR_ART,0,novelty-audit grade table C2 REPACKAGED,stress-strength-interference 1967 applied to biology
C3,computed,computation,famous,secondary,0,0,na,taxonomy,early,PRIOR_ART,0,novelty-audit grade table C3 REPACKAGED (+CORRECTED),"Landauer x Shannon both >2000; the note itself withdrew the absence claim"
C4,computed,derivation,obscure,secondary,0,1,na,number,early,SURVIVED,1,novelty-audit grade table C4 SPLIT: part (c) NOVEL (hedged),"only part (c) survives; parts (a) and (b) are prior art - one row cannot hold a three-way split"
C5,computed,derivation,famous,secondary,0,1,na,identity,early,SURVIVED,1,novelty-audit NOVEL; C5 section 11 kill-check held 2026-09-05,strongest result in the vault
C6,computed,derivation,obscure,secondary,0,1,na,identity,early,PRIOR_ART,0,novelty-audit C6 REPACKAGED downgraded from NOVEL 2026-09-05,Erlang-B complement of an M/M/1/1 loss system (log 817)
C7,computed,catalogue,obscure,secondary,0,0,na,taxonomy,early,PRIOR_ART,0,novelty-audit grade table C7 REPACKAGED,surviving conditional moved to C16
C8,computed,derivation,obscure,secondary,0,1,na,identity,early,PRIOR_ART,0,novelty-audit C8 REPACKAGED confirmed after Greason read in full,four separate arithmetic corrections 2026-09-05 (log 717-749)
C9,computed,derivation,obscure,secondary,0,1,na,identity,early,PRIOR_ART,0,novelty-audit C9 REDISCOVERED,thermoacoustics; Bezsudnov-Snarskii 2014
C10,computed,computation,obscure,secondary,0,0,na,number,early,PRIOR_ART,0,novelty-audit grade table C10 REPACKAGED,curve fit on 7 published datasets
C11,computed,instrument,obscure,primary,0,0,na,number,early,PRIOR_ART,0,novelty-audit grade table C11 REPACKAGED,three corrections 2026-09-05; output is a specification not a result
C12,computed,derivation,obscure,secondary,0,1,na,identity,early,PRIOR_ART,0,novelty-audit grade table C12 REPACKAGED,SNF actually computed 2026-09-05 and the note demoted (log 985)
C13,computed,citation_compare,obscure,primary,0,0,na,taxonomy,early,PRIOR_ART,0,novelty-audit grade table C13 REPACKAGED (+CORRECTED),verification not discovery
C14,computed,derivation,obscure,secondary,0,0,na,number,early,PRIOR_ART,0,novelty-audit grade table C14 REPACKAGED,control-theory passivity index is the rigorous twin
C15,computed,computation,obscure,secondary,0,0,na,number,early,PRIOR_ART,0,novelty-audit grade table C15 LOCATED,"AMBIGUOUS: a clean negative graded LOCATED; the brief puts LOCATED in the prior-art class but no prior art was actually found"
C16,computed,catalogue,obscure,primary,0,1,na,taxonomy,early,SURVIVED,1,novelty-audit C16 NOVEL,blind class rule re-applied 2026-09-05 changed 11 of 24 rows and the conditional held (log 1006)
C17,computed,derivation,obscure,secondary,0,0,na,identity,early,PRIOR_ART,0,novelty-audit grade table C17 REPACKAGED,the JPA field's own published B*sqrt(G) = const
C18,computed,computation,obscure,secondary,0,1,na,taxonomy,early,PRIOR_ART,0,novelty-audit grade table C18 REPACKAGED,also narrowed 2026-09-05: the axis was not well defined and rows mixed objects and estimators (log 2171)
C19,computed,computation,obscure,secondary,0,1,na,number,early,WITHDRAWN,0,log 2026-09-05 C19's 73x fitted hormesis window withdrawn,three separate corrections killed the headline number
C20,computed,derivation,obscure,secondary,0,0,na,identity,early,PRIOR_ART,0,novelty-audit grade table C20 REPACKAGED,Szirtes' applied dimensional analysis
C21,computed,catalogue,obscure,primary,0,0,na,taxonomy,early,SURVIVED,1,C21 callout Verdict: NO - not beyond what the method's own selection filter forces,honest null; the stated verdict stands
C22,computed,computation,obscure,primary,0,0,na,correlation,early,NARROWED,0,C22 callout Directionally supported not quantitatively established,ledger totals recounted twice 2026-09-05 (log 1639)
C25,computed,derivation,obscure,secondary,0,1,na,identity,post,WITHDRAWN,0,C48 callout kills the graded prediction twice over,"the Whittle derivation is intact but the graded prediction is dead - AMBIGUOUS between NARROWED and WITHDRAWN"
C26,computed,computation,famous,primary,0,1,na,number,post,WITHDRAWN,0,C26 callout RESULT - the discriminator fails and the failure is the finding,pre-registered null; the note stands as the record of a failed claim
C27,computed,computation,obscure,primary,0,1,na,taxonomy,post,NARROWED,0,log 2026-09-05 C27's RAC natural experiment is withdrawn; P1 is untested,the 21-fit beta table stands
C28,computed,computation,obscure,secondary,0,1,na,number,post,NARROWED,0,log 2026-09-05 C28's callout attributed a specificity range to an enumeration that supports none,break-even formula stands; the illustrative numbers were restated
C29,computed,computation,obscure,primary,0,1,na,number,post,SURVIVED,1,C29 callout beta = 0.587 [0.510 0.668]; replicated at 0.733 in C32,prediction 1 failed but the headline beta < 1 stands
C30,computed,instrument,obscure,primary,0,1,na,taxonomy,post,NARROWED,0,C30 callout Step 0 returns NO AGREED OBSERVABLE; log 2377/2391/2403 withdraw three ledger rows,headline halt stands; several exclusion rows withdrawn or restated
C31,computed,computation,obscure,secondary,0,0,na,identity,post,SURVIVED,1,log 2106 C31: C6's A = Ha/(1+Ha) is wrong once cores fail to return,a correction to C6 that itself stands
C32,computed,replication,obscure,primary,0,1,na,correlation,post,WITHDRAWN,0,C32 callout Prediction 1 of C29 is a FAIL in substance; log 2480 pooled beta = 0.733 is not identifiable,log 2229 - the two meta-analyses share ~95 primary studies
C33,computed,computation,obscure,secondary,0,1,na,number,post,WITHDRAWN,0,log 3296 C33: P(starve) withdrawn and 3310 the two-way table is withdrawn both directions,positive control failed (log 3283); the recursion survives but the numbers do not
C34,computed,computation,famous,secondary,0,0,na,number,post,SURVIVED,1,C34 callout alpha ~ 45 against the wafer's 0.3-5; Haldane-Muller right to +1.6%,no corrections section
C35,computed,data_join,obscure,primary,0,1,mismatch,number,post,PRIOR_ART,0,novelty-audit C35/C42/C43 row REPACKAGED (+CORRECTED) with section 5 REDISCOVERED,Verheijen 2009 and Montgomery 2007 publish the ratio; USDA T map-unit joined to point 10Be formation
C36,computed,computation,obscure,primary,0,1,na,number,post,NARROWED,0,log 3385 C36's governance ordering re-coded blind: direction survives test declared underpowered,balanced RAM Legacy panel
